16500,16500,Domestic
15142.857142857143,106000,False Arrest
89900,1348500,Illegal Search
157380.176470588235,2675463,Lockup Procedures
49000,98000,Money / Property
516998.261083743842,104950647,Operation/Personnel Violations
25000,25000,Racial Profiling
2086569.548387096774,64683656,Supervisory Responsibilities
134205.305555555556,4831391,Traffic
392576.289595758781,592397621,Use Of Force
433549.240837696335,496847430,Verbal Abuse
