district,year,ratio
10,1982,0
10,1983,16.67
10,1985,0
10,1986,75
10,1987,33.33
10,1988,35
10,1989,10.57
10,1990,10.58
10,1991,8.4
10,1992,6.31
10,1993,12.24
10,1994,9.69
10,1995,8.66
10,1996,5.68
10,1997,4.23
10,1998,3.42
10,1999,5.24
10,2000,2.67
10,2001,3.85
10,2002,2.21
10,2003,2.16
10,2004,1.39
10,2005,6.75
10,2006,5.09
10,2007,3.54
10,2008,2.61
10,2009,4.38
10,2010,1.6
10,2011,2.9
10,2012,5.41
10,2013,6.25
10,2014,6.38
10,2015,0
10,2016,0
11,1980,0
11,1983,0
11,1984,16.67
11,1985,50
11,1986,0
11,1987,23.08
11,1988,40
11,1989,12.42
11,1990,10.17
11,1991,10.38
11,1992,13.19
11,1993,11.76
11,1994,13.19
11,1995,10.61
11,1996,8.07
11,1997,7.43
11,1998,4.75
11,1999,5.29
11,2000,3.32
11,2001,4.82
11,2002,4.84
11,2003,3.14
11,2004,5.75
11,2005,3.53
11,2006,3.69
11,2007,1.66
11,2008,1.84
11,2009,1.61
11,2010,1.08
11,2011,2.54
11,2012,3.25
11,2013,6
11,2014,1.23
11,2015,2.86
11,2016,0
12,1983,100
12,1985,50
12,1987,0
12,1988,14.29
12,1989,17.65
12,1990,7.61
12,1991,11.11
12,1992,10.88
12,1993,7.88
12,1994,5.64
12,1995,6.19
12,1996,6.13
12,1997,6.7
12,1998,6.95
12,1999,2.14
12,2000,3.24
12,2001,6.57
12,2002,3.12
12,2003,4.04
12,2004,3.12
12,2005,3.51
12,2006,13.7
12,2007,1.49
12,2008,0
12,2009,5.77
12,2010,0
12,2011,5
12,2012,0
12,2013,5.56
12,2014,0
12,2015,16.67
12,2016,0
13,1979,0
13,1980,0
13,1981,0
13,1984,0
13,1985,0
13,1986,15.38
13,1987,0
13,1988,0
13,1989,8.57
13,1990,11.67
13,1991,5.36
13,1992,12.63
13,1993,9.02
13,1994,6.76
13,1995,3.95
13,1996,6.52
13,1997,9.84
13,1998,5
13,1999,6.15
13,2000,2.64
13,2001,4.49
13,2002,5
13,2003,11.96
13,2004,6.8
13,2005,12.04
13,2006,5.13
13,2007,6.52
13,2008,5
13,2009,5.51
13,2010,5.62
13,2011,10.26
13,2012,11.11
14,1977,100
14,1980,0
14,1981,0
14,1982,0
14,1983,0
14,1984,0
14,1985,0
14,1986,7.14
14,1987,11.43
14,1988,16.67
14,1989,8.7
14,1990,11.22
14,1991,10.33
14,1992,10.29
14,1993,8.2
14,1994,6.22
14,1995,12.45
14,1996,8.06
14,1997,6.71
14,1998,13.31
14,1999,6.07
14,2000,3.87
14,2001,4.78
14,2002,5.15
14,2003,3.25
14,2004,9.03
14,2005,9.02
14,2006,7.48
14,2007,3.57
14,2008,3.12
14,2009,2.83
14,2010,1.92
14,2011,13.04
14,2012,4.44
14,2013,6.67
14,2014,12.5
14,2015,0
14,2016,0
15,1981,0
15,1983,14.29
15,1984,0
15,1985,16.67
15,1986,5.26
15,1987,18.75
15,1988,6.25
15,1989,5.1
15,1990,6.45
15,1991,6.23
15,1992,8.71
15,1993,7.77
15,1994,8.88
15,1995,8.46
15,1996,6.6
15,1997,9.37
15,1998,8.36
15,1999,8.29
15,2000,4.9
15,2001,3.24
15,2002,2.72
15,2003,2.68
15,2004,4.5
15,2005,3.57
15,2006,8.29
15,2007,2.73
15,2008,2.34
15,2009,2.05
15,2010,3.42
15,2011,8.33
15,2012,6.74
15,2013,5.15
15,2014,5.56
15,2015,11.11
15,2016,0
16,1984,0
16,1985,0
16,1986,0
16,1987,16.67
16,1988,11.11
16,1989,6.06
16,1990,6.06
16,1991,7.95
16,1992,6.45
16,1993,6.14
16,1994,10.99
16,1995,12.05
16,1996,10.42
16,1997,12.94
16,1998,5.56
16,1999,5.71
16,2000,4.05
16,2001,0
16,2002,2.41
16,2003,6.59
16,2004,4.17
16,2005,4.84
16,2006,5.45
16,2007,6.58
16,2008,0
16,2009,7.14
16,2010,2.44
16,2011,5.88
16,2012,3.23
16,2013,10.71
16,2014,11.76
16,2015,12.5
16,2016,0
17,1980,100
17,1982,100
17,1983,20
17,1984,25
17,1985,0
17,1986,0
17,1987,0
17,1988,12.5
17,1989,7.25
17,1990,13.46
17,1991,8.5
17,1992,7.56
17,1993,15.38
17,1994,9.57
17,1995,8.24
17,1996,9.29
17,1997,3.7
17,1998,4.97
17,1999,0.77
17,2000,3.72
17,2001,10
17,2002,5.66
17,2003,4.67
17,2004,5.32
17,2005,5.45
17,2006,9.09
17,2007,4.72
17,2008,1.23
17,2009,4.69
17,2010,3.12
17,2011,12.12
17,2012,0
17,2013,10.53
17,2014,21.05
17,2015,0
17,2016,0
